numero,codigo_original,nome_original,nome_ficticio,descricao,qtd,unitario,total
12,PROD-3613,"Poltrona Madda","Poltrona Carbono","Estofada tecido premium, pés e base em aço carbono laminado, tecido D7066, medida L87x P82x A80, designer Ronald Sasson",2,"R$ 6.700,00","R$ 13.400,00"
13,PROD-4740,"Poltrona Golf","Poltrona Tela","Medida L72x P62x A73 com tela sextavada mad. nat. tela cru",2,"R$ 5.852,00","R$ 11.704,00"
14,PROD-1931,"Poltrona Cell Giratória","Poltrona Nuvem","Almofadas com pena de ganso, giratória, tecido linho cinza premium, medida L97 x P96",1,"R$ 8.935,00","R$ 8.935,00"
15,PROD-7420,"Poltrona Agatha","Poltrona Eclipse","Base giratória pintada de preto, tecido B2104, medidas L68 x P80 x A76",1,"R$ 4.980,00","R$ 4.980,00"
16,PROD-4263,"Poltrona Sato","Poltrona Grafite","Estrutura ebanizada, tecido linho premium cinza, medida L74x P78,5x A72, designer Ronald Sasson",2,"R$ 5.808,00","R$ 11.616,00"
17,PROD-8075,"Poltrona Turim","Poltrona Mel","Medida L97x P83x A85, base de madeira cor mel, tecido premium claro",2,"R$ 9.670,00","R$ 19.340,00"
18,PROD-4091,"Poltrona Pitanga","Poltrona Freijó","Estrutura em louro freijó com palha natural, assento em couro marrom caramelo, medidas 76Lx68Px73A, designer Ibanez Razzera",2,"R$ 6.806,00","R$ 13.612,00"
19,PROD-2665,"Poltrona Mik","Poltrona Sola","Estrutura aço carbono preto, couro sola preto, detalhes em madeira, medida L088x P085x A085, tecido premium jacquard avel, designer Larissa Diegoli",1,"R$ 9.102,00","R$ 9.102,00"
20,PROD-2787,"Poltrona Harper Giratória","Poltrona Puffe","Com puff, estofada e giratória, L100 x P92 x A70, tecido premium cinza claro",1,"R$ 8.039,00","R$ 8.039,00"
21,PROD-1225,"Poltrona Castanha Giratória","Poltrona Trama","Medida L82xP84xA80, tecido premium no assento, detalhes atrás couro bege",2,"R$ 7.150,00","R$ 14.300,00"
22,PROD-3893,"Poltrona Luz","Poltrona Luzia","Medida L100xP92xA84, tecido premium claro",2,"R$ 4.442,00","R$ 8.884,00"
23,PROD-9459,"Poltrona Dolly","Poltrona Algodão","Medida L100xP100xA80, tecido premium linho cinza claro",2,"R$ 4.795,00","R$ 9.590,00"
24,PROD-8602,"Poltrona Chelsea","Poltrona Atlântica","Estofada, base em madeira, medidas L85 x P80 x A82",2,"R$ 4.504,00","R$ 9.008,00"
25,PROD-6666,"Mesa de Jantar Float","Mesa Cristal","240 x 120 x 76, laca acetinada, vidro cristal",1,"R$ 13.936,00","R$ 13.936,00"
26,PROD-9976,"Mesa de Jantar Albina","Mesa Caramelo","240x1200x75, lâmina freijó caramelo",1,"R$ 15.800,00","R$ 15.800,00"
27,PROD-6749,"Mesa de Centro Uapé","Mesa Bruma","1.10x1.10x0.42, estrutura aço carbono, designer Estudio Ambos",1,"R$ 10.392,00","R$ 10.392,00"
28,PROD-7289,"Mesa de Centro Orga","Mesa Dourado Velho","Madeira maciça natural, estrutura aço carbono ouro velho, medida 85x76",1,"R$ 4.258,00","R$ 4.258,00"
29,PROD-6900,"Mesa de Centro Flit","Mesa Duetto","Conjunto com 2 mesas, estrutura em nogueira, tampo tipo mármore cinza na maior e vidro na menor",1,"R$ 7.775,00","R$ 7.775,00"
30,PROD-8953,"Mesa de Centro Eixo","Mesa Laca","Tampo laca 80 diâmetro x 34 altura, estrutura aço carbono bege",1,"R$ 4.632,00","R$ 4.632,00"
31,PROD-4523,"Mesa de Centro Feixe","Mesa Bambu","Toda em bambu, diâmetro 100 x altura 30",1,"R$ 5.972,00","R$ 5.972,00"
32,PROD-2528,"Mesa Lateral Atalanta","Mesa Concreto","Base e tampo em concreto natural 40x33xA63",1,"R$ 5.232,00","R$ 5.232,00"
33,PROD-1433,"Mesa Lateral Erato","Mesa Cinza","Base em aço carbono, tampo concreto cinza claro",1,"R$ 3.880,00","R$ 3.880,00"
